country,year,female_age,male_age,source,women_dataprocess,women_datacatalogshortname,men_dataprocess,men_datacatalogshortname
Afghanistan,1972,18.1,26,UN World Marriage Data 2019,Survey,1972-1974 NDFGS,Survey,1972-1974 NDFGS
Afghanistan,2010,21.5,,UN World Marriage Data 2019,Survey,2010 DHS Special,N/A,N/A
Afghanistan,2015,21.5,24.700001,UN World Marriage Data 2019,Survey,2015 DHS,Survey,2015 DHS
Albania,2000,23.9,28.5,UN World Marriage Data 2019,Survey,2000 MICS,Survey,2000 MICS_HH
Albania,2002,22.9,26.9,UN World Marriage Data 2019,Survey,2002 RHS,Survey,2002 RHS
Albania,2005,24.6,,UN World Marriage Data 2019,Survey,2005 MICS,N/A,N/A
Albania,2008,24.6,28.799999,UN World Marriage Data 2019,Survey,2008-2009 DHS,Survey,2008-2009 DHS
Albania,2017,24.200001,30.799999,UN World Marriage Data 2019,Survey,2017-2018 DHS,Survey,2017-2018 DHS
Algeria,1977,,25.299999,UN World Marriage Data 2019,N/A,N/A,Census,1977 Census
Algeria,1987,,27.700001,UN World Marriage Data 2019,N/A,N/A,Census,1987 Census
Algeria,1992,25.9,,UN World Marriage Data 2019,Survey,1992 MCH,N/A,N/A
Algeria,2002,29.5,,UN World Marriage Data 2019,Survey,2002 MCH,N/A,N/A
Algeria,2006,29.700001,,UN World Marriage Data 2019,Survey,2006 MICS,N/A,N/A
Algeria,2008,,32.900002,UN World Marriage Data 2019,N/A,N/A,Census,2008 Census
Algeria,2012,28.200001,,UN World Marriage Data 2019,Survey,2012 MICS,N/A,N/A
American Samoa,1974,23.299999,26.200001,UN World Marriage Data 2019,Census,1974 Census,Census,1974 Census
American Samoa,1990,25.700001,28.299999,UN World Marriage Data 2019,Census,1990 Census,Census,1990 Census
Angola,2001,20.299999,24.1,UN World Marriage Data 2019,Survey,2001 MICS,Survey,2001 MICS_HH
Angola,2015,21.5,25.799999,UN World Marriage Data 2019,Survey,2015-2016 DHS,Survey,2015-2016 DHS
Anguilla,2001,28.6,31.6,UN World Marriage Data 2019,Census,2001 Census,Census,2001 Census
Antigua and Barbuda,1991,33.200001,33.200001,UN World Marriage Data 2019,Census,1991 Census,Census,1991 Census
Antigua and Barbuda,2001,25.700001,29.299999,UN World Marriage Data 2019,Census,2001 Census,Census,2001 Census
Argentina,1970,23.1,26.4,UN World Marriage Data 2019,Census,1970 Census,Census,1970 Census
Argentina,1991,23.299999,25.799999,UN World Marriage Data 2019,Census,1991 Census,Census,1991 Census
Argentina,2001,24.6,26.9,UN World Marriage Data 2019,Census,2001 Census,Census,2001 Census
Argentina,2010,24.6,26.6,UN World Marriage Data 2019,Census,2010 Census,Census,2010 Census
Armenia,2000,22.200001,26.1,UN World Marriage Data 2019,Survey,2000 DHS,Survey,2000 DHS
Armenia,2005,23,27,UN World Marriage Data 2019,Survey,2005 DHS,Survey,2005 DHS
Armenia,2010,24.5,27.799999,UN World Marriage Data 2019,Survey,2010 DHS,Survey,2010 DHS
Armenia,2015,24.200001,28.5,UN World Marriage Data 2019,Survey,2015 DHS,Survey,2015 DHS
Aruba,1981,25.5,27.4,UN World Marriage Data 2019,Census,1981 Census,Census,1981 Census
Aruba,1991,26.200001,28.799999,UN World Marriage Data 2019,Census,1991 Census,Census,1991 Census
Aruba,2000,26.799999,29.9,UN World Marriage Data 2019,Census,2000 Census,Census,2000 Census
Aruba,2010,28.5,31.200001,UN World Marriage Data 2019,Census,2010 Census,Census,2010 Census
Australia,1990,24.299999,26.5,OECD,N/A,N/A,N/A,N/A
Australia,1991,24.5,26.700001,OECD,N/A,N/A,N/A,N/A
Australia,1992,24.700001,26.9,OECD,N/A,N/A,N/A,N/A
Australia,1993,24.799999,27,OECD,N/A,N/A,N/A,N/A
Australia,1994,25.1,27.200001,OECD,N/A,N/A,N/A,N/A
Australia,1995,25.299999,27.299999,OECD,N/A,N/A,N/A,N/A
Australia,1996,25.700001,27.6,OECD,N/A,N/A,N/A,N/A
Australia,1997,25.9,27.799999,OECD,N/A,N/A,N/A,N/A
Australia,1998,26.200001,27.9,OECD,N/A,N/A,N/A,N/A
Australia,1999,26.4,28.200001,OECD,N/A,N/A,N/A,N/A
Australia,2000,26.700001,28.5,OECD,N/A,N/A,N/A,N/A
Australia,2001,26.9,28.700001,OECD,N/A,N/A,N/A,N/A
Australia,2002,27.1,29,OECD,N/A,N/A,N/A,N/A
Australia,2003,27.299999,29.200001,OECD,N/A,N/A,N/A,N/A
Australia,2004,27.5,29.4,OECD,N/A,N/A,N/A,N/A
Australia,2005,27.6,29.5,OECD,N/A,N/A,N/A,N/A
Australia,2006,27.6,29.6,OECD,N/A,N/A,N/A,N/A
Australia,2007,27.6,29.6,OECD,N/A,N/A,N/A,N/A
Australia,2008,27.700001,29.6,OECD,N/A,N/A,N/A,N/A
Australia,2009,27.700001,29.6,OECD,N/A,N/A,N/A,N/A
Australia,2010,27.9,29.6,OECD,N/A,N/A,N/A,N/A
Australia,2011,28,29.700001,OECD,N/A,N/A,N/A,N/A
Australia,2012,28.1,29.799999,OECD,N/A,N/A,N/A,N/A
Australia,2013,28.299999,29.9,OECD,N/A,N/A,N/A,N/A
Australia,2014,28.4,30,OECD,N/A,N/A,N/A,N/A
Australia,2015,28.5,30.1,OECD,N/A,N/A,N/A,N/A
Australia,2016,28.700001,30.299999,OECD,N/A,N/A,N/A,N/A
Australia,2017,28.799999,30.4,OECD,N/A,N/A,N/A,N/A
Austria,1990,25.200001,27.700001,OECD,N/A,N/A,N/A,N/A
Austria,1991,25.4,27.9,OECD,N/A,N/A,N/A,N/A
Austria,1992,25.6,28,OECD,N/A,N/A,N/A,N/A
Austria,1993,25.799999,28.4,OECD,N/A,N/A,N/A,N/A
Austria,1994,26.1,28.700001,OECD,N/A,N/A,N/A,N/A
Austria,1995,26.299999,29,OECD,N/A,N/A,N/A,N/A
Austria,1996,26.5,29.1,OECD,N/A,N/A,N/A,N/A
Austria,1997,26.799999,29.299999,OECD,N/A,N/A,N/A,N/A
Austria,1998,26.9,29.6,OECD,N/A,N/A,N/A,N/A
Austria,1999,27.299999,29.9,OECD,N/A,N/A,N/A,N/A
Austria,2000,27.4,30,OECD,N/A,N/A,N/A,N/A
Austria,2001,27.5,30.200001,OECD,N/A,N/A,N/A,N/A
Austria,2002,27.700001,30.299999,OECD,N/A,N/A,N/A,N/A
Austria,2003,27.9,30.6,OECD,N/A,N/A,N/A,N/A
Austria,2004,28.200001,30.9,OECD,N/A,N/A,N/A,N/A
Austria,2005,28.6,31.200001,OECD,N/A,N/A,N/A,N/A
Austria,2006,29.1,31.799999,OECD,N/A,N/A,N/A,N/A
Austria,2007,29.299999,32,OECD,N/A,N/A,N/A,N/A
Austria,2008,29.5,32.200001,OECD,N/A,N/A,N/A,N/A
Austria,2009,29.9,32.5,OECD,N/A,N/A,N/A,N/A
Austria,2011,30.299999,32.900002,OECD,N/A,N/A,N/A,N/A
Austria,2012,30.6,33.200001,OECD,N/A,N/A,N/A,N/A
Austria,2017,31.5,34.200001,OECD,N/A,N/A,N/A,N/A
Azerbaijan,2012,24.299999,28.200001,UN World Marriage Data 2019,UNSD Estimate,2012 Estimate,UNSD Estimate,2012 Estimate
Azerbaijan,2013,24.299999,28.200001,UN World Marriage Data 2019,UNSD Estimate,2013 Estimate,UNSD Estimate,2013 Estimate
Azerbaijan,2014,24.299999,28.200001,UN World Marriage Data 2019,UNSD Estimate,2014 Estimate,UNSD Estimate,2014 Estimate
Azerbaijan,2015,24.299999,28.1,UN World Marriage Data 2019,UNSD Estimate,2015 Estimate,UNSD Estimate,2015 Estimate
Azerbaijan,2016,24.200001,28.1,UN World Marriage Data 2019,UNSD Estimate,2016 Estimate,UNSD Estimate,2016 Estimate
Azerbaijan,2017,24.200001,28.1,UN World Marriage Data 2019,UNSD Estimate,2017 Estimate,UNSD Estimate,2017 Estimate
Azerbaijan,2018,24.200001,28.1,UN World Marriage Data 2019,UNSD Estimate,2018 Estimate,UNSD Estimate,2018 Estimate
Bahamas,1970,22.4,26,UN World Marriage Data 2019,Census,1970 Census,Census,1970 Census
Bahamas,1980,24.799999,27.299999,UN World Marriage Data 2019,Census,1980 Census,Census,1980 Census
Bahamas,1990,27.200001,29.1,UN World Marriage Data 2019,Census,1990 Census,Census,1990 Census
Bahamas,2000,27.4,29.9,UN World Marriage Data 2019,Census,2000 Census,Census,2000 Census
Bahamas,2010,27.9,30.6,UN World Marriage Data 2019,Census,2010 Census,Census,2010 Census
Bahrain,1991,25.6,28.4,UN World Marriage Data 2019,Census,1991 Census,Census,1991 Census
Bahrain,2001,26.299999,30,UN World Marriage Data 2019,Census,2001 Census,Census,2001 Census
Bahrain,2010,26.9,,UN World Marriage Data 2019,Census,2010 Census,N/A,N/A
Bangladesh,1974,,24,UN World Marriage Data 2019,N/A,N/A,Census,1974 Census
Bangladesh,1975,16.700001,,UN World Marriage Data 2019,Survey,1975-1976 WFS,N/A,N/A
Bangladesh,1981,,23.9,UN World Marriage Data 2019,N/A,N/A,Census,1981 Census
Bangladesh,1991,,24.9,UN World Marriage Data 2019,N/A,N/A,Census,1991 Census
Bangladesh,1993,18.299999,,UN World Marriage Data 2019,Survey,1993-1994 DHS,N/A,N/A
Bangladesh,1996,18.6,,UN World Marriage Data 2019,Survey,1996-1997 DHS,N/A,N/A
Bangladesh,1999,18.799999,,UN World Marriage Data 2019,Survey,1999-2000 DHS,N/A,N/A
Bangladesh,2001,,25.299999,UN World Marriage Data 2019,N/A,N/A,Census,2001 Census
Bangladesh,2004,18.700001,,UN World Marriage Data 2019,Survey,2004 DHS,N/A,N/A
Bangladesh,2006,18.700001,,UN World Marriage Data 2019,Survey,2006 MICS,N/A,N/A
Bangladesh,2007,18.4,,UN World Marriage Data 2019,Survey,2007 DHS,N/A,N/A
Bangladesh,2011,18.6,25.200001,UN World Marriage Data 2019,Survey,2011 DHS,Census,2011 Census
Bangladesh,2012,19.200001,,UN World Marriage Data 2019,Survey,2012-2013 MICS,N/A,N/A
Bangladesh,2014,18.799999,,UN World Marriage Data 2019,Survey,2014 DHS,N/A,N/A
Barbados,1970,28.5,31.700001,UN World Marriage Data 2019,Census,1970 Census,Census,1970 Census
Barbados,1980,30.4,32.700001,UN World Marriage Data 2019,Census,1980 Census,Census,1980 Census
Barbados,1990,31.799999,34.299999,UN World Marriage Data 2019,Census,1990 Census,Census,1990 Census
Barbados,2010,31.9,34.5,UN World Marriage Data 2019,Census,2010 Census,Census,2010 Census
Belarus,1979,21.299999,24.6,UN World Marriage Data 2019,Census,1979 Census,Census,1979 Census
Belarus,1989,21.9,24.5,UN World Marriage Data 2019,Census,1989 Census,Census,1989 Census
Belarus,1999,22.799999,25.4,UN World Marriage Data 2019,Census,1999 Census,Census,1999 Census
Belarus,2009,24.6,26.9,UN World Marriage Data 2019,Census,2009 Census,Census,2009 Census
Belgium,1990,24.4,26.5,OECD,N/A,N/A,N/A,N/A
Belgium,1991,24,26.700001,OECD,N/A,N/A,N/A,N/A
Belgium,1992,24.799999,27,OECD,N/A,N/A,N/A,N/A
Belgium,1993,25.1,27.200001,OECD,N/A,N/A,N/A,N/A
Belgium,1994,25.4,27.4,OECD,N/A,N/A,N/A,N/A
Belgium,1995,25.6,27.799999,OECD,N/A,N/A,N/A,N/A
Belgium,1996,25.700001,28,OECD,N/A,N/A,N/A,N/A
Belgium,1997,25.9,28.1,OECD,N/A,N/A,N/A,N/A
Belgium,1998,26,28.299999,OECD,N/A,N/A,N/A,N/A
Belgium,1999,26.299999,28.6,OECD,N/A,N/A,N/A,N/A
Belgium,2000,26.9,29.1,OECD,N/A,N/A,N/A,N/A
Belgium,2001,26.700001,29,OECD,N/A,N/A,N/A,N/A
Belgium,2002,27,29.299999,OECD,N/A,N/A,N/A,N/A
Belgium,2003,27.5,29.9,OECD,N/A,N/A,N/A,N/A
Belgium,2004,27.9,30.200001,OECD,N/A,N/A,N/A,N/A
Belgium,2005,28.1,30.5,OECD,N/A,N/A,N/A,N/A
Belgium,2006,28.4,30.9,OECD,N/A,N/A,N/A,N/A
Belgium,2007,28.6,31,OECD,N/A,N/A,N/A,N/A
Belgium,2008,28.9,31.4,OECD,N/A,N/A,N/A,N/A
Belgium,2009,29.299999,31.700001,OECD,N/A,N/A,N/A,N/A
Belgium,2010,29.4,31.700001,OECD,N/A,N/A,N/A,N/A
Belgium,2017,31.200001,33.5,OECD,N/A,N/A,N/A,N/A
Belize,1970,22.6,26,UN World Marriage Data 2019,Census,1970 Census,Census,1970 Census
Belize,1980,23.9,26.200001,UN World Marriage Data 2019,Census,1980 Census,Census,1980 Census
Belize,1991,26.200001,28.4,UN World Marriage Data 2019,Census,1991 Census,Census,1991 Census
Belize,2000,21,23.700001,UN World Marriage Data 2019,Census,2000 Census,Census,2000 Census
Belize,2010,28.6,30.1,UN World Marriage Data 2019,Census,2010 Census,Census,2010 Census
Benin,1996,19.9,,UN World Marriage Data 2019,Survey,1996 DHS,N/A,N/A
Benin,2001,20.299999,26.200001,UN World Marriage Data 2019,Survey,2001 DHS,Survey,2001 DHS
Benin,2006,20.5,25.299999,UN World Marriage Data 2019,Survey,2006 DHS,Survey,2006 DHS
Benin,2011,21.299999,26.200001,UN World Marriage Data 2019,Survey,2011-2012 DHS,Survey,2011-2012 DHS
Benin,2014,21.200001,25.799999,UN World Marriage Data 2019,Survey,2014 MICS,Survey,2014 MICS
Benin,2017,20.700001,25.700001,UN World Marriage Data 2019,Survey,2017-2018 DHS,Survey,2017-2018 DHS
Bermuda,1980,25.6,27.9,UN World Marriage Data 2019,Census,1980 Census,Census,1980 Census
Bermuda,1991,28.9,30.5,UN World Marriage Data 2019,Census,1991 Census,Census,1991 Census
Bermuda,2000,29.799999,31.299999,UN World Marriage Data 2019,Census,2000 Census,Census,2000 Census
Bermuda,2010,30.6,31.5,UN World Marriage Data 2019,Census,2010 Census,Census,2010 Census
Bermuda,2016,31.9,32.5,UN World Marriage Data 2019,Census,2016 Census,Census,2016 Census
Bhutan,2005,21.799999,25.4,UN World Marriage Data 2019,Census,2005 Census,Census,2005 Census
Bhutan,2017,23.799999,26.4,UN World Marriage Data 2019,Census,2017 Census,Census,2017 Census
Bolivia,1988,22.200001,,UN World Marriage Data 2019,Survey,1989 EIH,N/A,N/A
Bolivia,1989,22.200001,,UN World Marriage Data 2019,Survey,1989 DHS,N/A,N/A
Bolivia,1993,22,,UN World Marriage Data 2019,Survey,1994 DHS,N/A,N/A
Bolivia,1998,22.799999,25.4,UN World Marriage Data 2019,Survey,1998 DHS,Survey,1998 DHS
Bolivia,2000,22.4,24.5,UN World Marriage Data 2019,Survey,2000 MICS,Survey,2000 MICS_HH
Bolivia,2003,22.6,24.5,UN World Marriage Data 2019,Survey,2003 DHS,Survey,2003 DHS
Bolivia,2008,22.700001,25.299999,UN World Marriage Data 2019,Survey,2008 DHS,Survey,2008 DHS
Bolivia,2016,24,,UN World Marriage Data 2019,Survey,2016 DHS,N/A,N/A
Bosnia and Herzegovina,2000,23.6,28,UN World Marriage Data 2019,Survey,2000 MICS,Survey,2000 MICS_HH
Bosnia and Herzegovina,2006,24.5,,UN World Marriage Data 2019,Survey,2006 MICS,N/A,N/A
Bosnia and Herzegovina,2011,25.700001,29.4,UN World Marriage Data 2019,Survey,2011-2012 MICS,Survey,2011-2012 MICS
Botswana,1971,24.9,29.5,UN World Marriage Data 2019,Census,1971 Census,Census,1971 Census
Botswana,1981,26.4,30.799999,UN World Marriage Data 2019,Census,1981 Census,Census,1981 Census
Botswana,1991,26.9,30.9,UN World Marriage Data 2019,Census,1991 Census,Census,1991 Census
Botswana,2001,26.4,30.9,UN World Marriage Data 2019,Census,2001 Census,Census,2001 Census
Botswana,2011,24.799999,29.799999,UN World Marriage Data 2019,Census,2011 Census,Census,2011 Census
Brazil,1960,22.299999,26,UN World Marriage Data 2019,Census,1960 Census,Census,1960 Census
Brazil,1970,23,26.200001,UN World Marriage Data 2019,Census,1970 Census,Census,1970 Census
Brazil,1980,22.700001,25.5,UN World Marriage Data 2019,Census,1980 Census,Census,1980 Census
Brazil,1991,22.5,25.799999,UN World Marriage Data 2019,Census,1991 Census,Census,1991 Census
Brazil,2000,23.1,26.200001,UN World Marriage Data 2019,Census,2000 Census,Census,2000 Census
Brazil,2010,23.9,26.799999,UN World Marriage Data 2019,Census,2010 Census,Census,2010 Census
British Virgin Islands,1970,24.299999,28.200001,UN World Marriage Data 2019,Census,1970 Census,Census,1970 Census
British Virgin Islands,1980,26.4,28.200001,UN World Marriage Data 2019,Census,1980 Census,Census,1980 Census
British Virgin Islands,1991,28.4,31.9,UN World Marriage Data 2019,Census,1991 Census,Census,1991 Census
Brunei,1971,22.4,26.299999,UN World Marriage Data 2019,Census,1971 Census,Census,1971 Census
Brunei,1981,23.6,26.5,UN World Marriage Data 2019,Census,1981 Census,Census,1981 Census
Brunei,1991,25.1,27.299999,UN World Marriage Data 2019,Census,1991 Census,Census,1991 Census
Brunei,2011,26.1,29.299999,UN World Marriage Data 2019,Census,2011 Census,Census,2011 Census
Bulgaria,1990,21.5,24.6,OECD,N/A,N/A,N/A,N/A
Bulgaria,1991,21.5,24.6,OECD,N/A,N/A,N/A,N/A
Bulgaria,1992,21.700001,24.9,OECD,N/A,N/A,N/A,N/A
Bulgaria,1993,22,25.200001,OECD,N/A,N/A,N/A,N/A
Bulgaria,1994,22.4,25.700001,OECD,N/A,N/A,N/A,N/A
Bulgaria,1995,22.700001,26.200001,OECD,N/A,N/A,N/A,N/A
Bulgaria,1996,23,26.4,OECD,N/A,N/A,N/A,N/A
Bulgaria,1997,23.299999,26.799999,OECD,N/A,N/A,N/A,N/A
Bulgaria,1998,23.4,26.9,OECD,N/A,N/A,N/A,N/A
